"","logFC","logCPM","LR","PValue","FDR"
"YEL070W_mRNA",10.5951387731631,6.9725770423174,658.490243603908,3.18176977335508e-145,1.83779022108989e-141
"YEL069C_mRNA",9.28770385483392,7.39455715670556,579.050282410938,6.03481448355874e-128,1.74285442285176e-124
"YNR071C_mRNA",8.96488849951031,8.79699368786029,556.736351512985,4.3109799560804e-123,8.30007340877347e-120
"YGR087C_mRNA",-5.05874283208933,7.70007429963819,504.743036090086,8.83061622383513e-112,1.27514098272179e-108
"YHR094C_mRNA",-5.05324888303792,8.05264074209283,462.272566029194,1.53937443782645e-102,1.77828535057711e-99
"YJL052W_mRNA",-5.40206935011219,12.3891381724707,425.654811794417,1.43426346502437e-94,1.3807176289968e-91
"YNR073C_mRNA",8.16183767178784,9.58432302796219,416.843301534283,1.18725804583509e-92,9.79657496106213e-90
"YGL055W_mRNA",-4.69205391877888,9.87192867824278,395.349691708755,5.6658222777502e-88,4.09072368453564e-85
"YKL164C_mRNA",3.96459878495488,7.11921816187705,393.067753707159,1.77840300959381e-87,1.14133953149042e-84
"YNR072W_mRNA",5.55358869759218,8.47458541249874,390.164293246443,7.62272832084695e-87,4.4028878781212e-84
"YJL158C_mRNA",4.31436078998075,6.549394528841,387.662750489664,2.67118016680482e-86,1.40261242213315e-83
"YFL068W_mRNA",-10.647626139026,4.94985342711242,372.87361765008,4.43123642081418e-83,2.13290179721856e-80
"YIR019C_mRNA",5.38889380899372,11.9237104571137,367.723334164478,5.86001742294978e-82,2.60365081807369e-79
"YGR296W_mRNA",-10.5460700829907,4.63944127347114,363.833370508992,4.11993775113508e-81,1.69976860361116e-78
"YJL212C_mRNA",-5.18135045668771,6.64043088427745,339.359087980123,8.79934239606775e-76,3.38833344531249e-73
"YCR012W_mRNA",-4.89549262159248,10.5852898532095,332.272599526715,3.07480242064664e-74,1.11000367385344e-71
"YOR273C_mRNA",-4.02991255961894,7.41890288774108,331.648750902007,4.20426305238758e-74,1.42846019944651e-71
"YGR088W_mRNA",-4.4455716842887,8.15216598630583,302.115694025309,1.13982507740364e-67,3.65757202615746e-65
"YJR152W_mRNA",-3.46822236022077,8.99011886709166,298.249203579081,7.92893037393599e-67,2.41039483367654e-64
"YOR248W_mRNA",4.73558411972951,5.00119925598513,289.089616186298,7.85094191935442e-65,2.26735202630956e-62
"YPL095C_mRNA",-3.85891015289269,7.28808963639335,279.749958948359,8.51303660043091e-63,2.34149044781376e-60
"YDR545W_mRNA",-10.2734302465853,4.39935696783314,273.927203981134,1.5813015295639e-61,4.15163528852776e-59
"YAL038W_mRNA",-3.35996643889102,9.30398793426662,267.16632428119,4.70444493972549e-60,1.18142930312411e-57
"YDR403W_mRNA",4.1326348236301,5.36723551105836,259.111134582118,2.68082723884647e-58,6.45185755482384e-56
"YKR097W_mRNA",4.10413269287241,7.21145060646311,257.983086523399,4.72238706835468e-58,1.09106030827267e-55
"YOR386W_mRNA",-10.013156636203,4.16453514041099,251.40347818771,1.28372540781779e-56,2.85184536752136e-54
"YKL001C_mRNA",3.5819432828779,6.47019918843183,251.295232106564,1.35540867740071e-56,2.89957056320981e-54
"YOR047C_mRNA",-3.72751503258705,4.95155233186212,248.920860114909,4.46379150907933e-56,9.20816419872937e-54
"YKR075C_mRNA",3.25933910580301,6.87463189886412,247.867218981748,7.57552951774307e-56,1.50883649980979e-53
"YEL071W_mRNA",-10.1918994327926,6.71334424098614,245.838091929804,2.09798856615898e-55,4.03932731937809e-53
"YHR174W_mRNA",-3.51564618217926,8.20508408368089,241.2466429922,2.10321941815111e-54,3.9187726965293e-52
"YMR145C_mRNA",3.25633517990462,7.37071382819019,240.11653075754,3.70934001000545e-54,6.69535871805984e-52
"YPL106C_mRNA",3.23626906372105,9.31246453567642,239.764860643978,4.4256442677315e-54,7.74621857285367e-52
"YFR015C_mRNA",3.88181221352339,6.27098500179101,235.537757080763,3.69582189680125e-53,6.27854919880118e-51
"YGR060W_mRNA",-2.89149544826945,7.63450019593452,235.07400303045,4.66485716297333e-53,7.69834713523827e-51
