"","logFC","logCPM","LR","PValue","FDR"
"YEL069C_mRNA",8.88027044933926,7.39455715670556,522.828008871901,1.02629991001225e-115,5.92790828023077e-112
"YCR105W_mRNA",7.27906628554127,7.96720243812992,498.346820589544,2.17605539237552e-110,6.28444797318051e-107
"YGR087C_mRNA",-4.79094530162837,7.70007429963819,488.617491441924,2.8485974990615e-108,5.48449971819308e-105
"YGR296W_mRNA",-10.532284321298,4.63944127347114,423.84703832761,3.54896611004895e-94,5.12470706291069e-91
"YKR097W_mRNA",5.24793714541218,7.21145060646311,414.447418624129,3.94502924692816e-92,4.55729778605141e-89
"YHR094C_mRNA",-4.11287024601314,8.05264074209283,357.44837175099,1.01204328814574e-79,9.74260338721634e-77
"YGR088W_mRNA",-4.85029130335938,8.15216598630583,347.887285345573,1.22241051739614e-77,1.00866330692573e-74
"YNR073C_mRNA",7.14683635528751,9.58432302796219,342.121189003825,2.2025082296439e-76,1.5902109418029e-73
"YNR072W_mRNA",4.93753091171968,8.47458541249874,321.314312210356,7.49233851001241e-72,4.80841635931463e-69
"YGR201C_mRNA",-3.78505799212754,6.0152547147316,283.959162502557,1.03002377436589e-63,5.94941732073738e-61
"YNL141W_mRNA",-3.35276497432428,6.37040841204236,278.784908061351,1.38161723992511e-62,7.25474652527948e-60
"YPL095C_mRNA",-3.77292499374067,7.28808963639335,277.491539579314,2.64388014909619e-62,1.2725876450983e-59
"YDR545W_mRNA",-6.11259670072677,4.39935696783314,267.547459717208,3.88542559676767e-60,1.72632448053308e-57
"YNR071C_mRNA",5.82917888716825,8.79699368786029,262.868129964102,4.06766543589387e-59,1.67820253983736e-56
"YDL243C_mRNA",4.37727964476636,8.02054338645373,248.334488293697,5.99157518326858e-56,2.30715588390395e-53
"YDL039C_mRNA",4.43536742055644,5.104314846744,245.764894747183,2.17651583783553e-55,7.85722217458628e-53
"YOR273C_mRNA",-3.22806812014085,7.41890288774108,243.466262254272,6.90124924463714e-55,2.34480091982495e-52
"YOR386W_mRNA",-5.66014267683232,4.16453514041099,238.774994169017,7.27468621359879e-54,2.33436597609703e-51
"YLR004C_mRNA",-3.30038888914492,5.36234469823137,234.81956556784,5.30056230910295e-53,1.6113709419673e-50
"YPR002W_mRNA",4.04355101980004,5.02438346244029,230.016088202094,5.91335588351454e-52,1.707777179159e-49
"YLR377C_mRNA",4.39566150427759,7.36289482975968,228.185392425244,1.48280797586161e-51,4.07842803265556e-49
"YOR384W_mRNA",-4.83211688766808,3.5491054696327,218.091035947018,2.35931214621107e-49,6.19426679841597e-47
"YDL210W_mRNA",-3.24195430990611,5.60734271998692,213.572459004967,2.28290067329801e-48,5.73305838650838e-46
"YOR047C_mRNA",-2.90268166996894,4.95155233186212,207.278372171739,5.39095748106662e-47,1.29742376711003e-44
"YNL036W_mRNA",3.41947792317143,7.78311130545511,201.584362784773,9.42095924017711e-46,2.17661842285052e-43
"YKR009C_mRNA",-2.72631686186237,5.67454249196051,191.280503489686,1.67043509408512e-43,3.71093580901371e-41
"YMR319C_mRNA",-3.28159706707629,5.96315225240276,187.970674496082,8.8166008374409e-43,1.88609949766884e-40
"YEL070W_mRNA",6.92488017798553,6.9725770423174,187.460868626227,1.13916788292721e-42,2.34994060420985e-40
"YMR145C_mRNA",2.79205532060558,7.37071382819019,180.213165903902,4.35389249672315e-41,8.67175277968032e-39
"YJR095W_mRNA",3.76267718389868,5.27552470936298,179.7310104487,5.54819716616958e-41,1.06821289439318e-38
"YPR036W-A_mRNA",3.88014431538288,9.0760546380318,176.740424778202,2.49547422930232e-40,4.64963198337102e-38
"YOL128C_mRNA",-3.10194427785817,6.28962105067607,176.005657331547,3.61077533816547e-40,6.51744948538867e-38
"YBL049W_mRNA",-2.63630344968127,6.80156213755278,170.525851966905,5.67957954775975e-39,9.940985293291e-37
"YDR089W_mRNA",-2.45230819761758,5.78513626036132,169.940953901785,7.62189141319241e-39,1.29482484713527e-36
"YDR536W_mRNA",3.14762660605361,6.66631570722649,169.081895879733,1.1740664854794e-38,1.93754514860829e-36
"YJL212C_mRNA",-2.98211514970907,6.64043088427745,165.356281176417,7.64683355962713e-38,1.22689196223351e-35
"YGL117W_mRNA",4.17450001556765,6.37586745463354,164.247284484206,1.33579938840485e-37,2.08529115335849e-35
"YIL045W_mRNA",-3.18217477319154,6.97795865829709,163.375310028813,2.07123928151327e-37,3.14828370790017e-35
"YIL053W_mRNA",-2.89339642456328,5.33490284671838,158.383102901482,2.55230029296214e-36,3.78002217747418e-34
"YAR027W_mRNA",5.75942505450449,3.36888449648788,153.190273943663,3.48087941734972e-35,5.026389878653e-33
"YGR067C_mRNA",3.11309802590686,5.04747379041721,152.366528166757,5.26888917642808e-35,7.42270826415819e-33
"YIL155C_mRNA",3.41102714095401,7.56221952451904,148.077582589477,4.56217514561297e-34,6.27407705739536e-32
"YHL028W_mRNA",-2.68330786237149,6.0484620622195,147.798312492013,5.25072462443529e-34,6.9071771260228e-32
"YOR247W_mRNA",2.89625100519378,5.8257216209062,147.79416402773,5.26170002674867e-34,6.9071771260228e-32
"YIR019C_mRNA",3.06748798936325,11.9237104571137,147.17994464494,7.16794373007834e-34,9.20045399665166e-32
"YFL068W_mRNA",-2.56829855075185,4.94985342711242,146.181662043422,1.18475151647051e-33,1.48763581720298e-31
"YDR406W_mRNA",-2.59548142288934,8.00425724486084,145.811025205666,1.42775602142628e-33,1.75462101696983e-31
"YLR446W_mRNA",-2.6344077318198,4.83697047438197,145.694885520371,1.5137151042192e-33,1.8215038420771e-31
"YJL052W_mRNA",-2.78958870760146,12.3891381724707,145.562252826141,1.61822948448843e-33,1.90752928620513e-31
"YHR052W-A_mRNA",5.68962346093876,7.99335943019929,144.841707297049,2.32577551591908e-33,2.68673587598972e-31
"YML128C_mRNA",-2.09612176337264,7.6506466364692,144.304912031767,3.04738186746107e-33,3.45130934636376e-31
"YBR072W_mRNA",3.94656588958033,9.69812411258347,143.609020791641,4.3258687367075e-33,4.80504188908126e-31
"YKR033C_mRNA",-2.60543539172423,4.18276803034026,141.321146220396,1.36873366443902e-32,1.49166144260374e-30
"YBL048W_mRNA",-2.69320009406315,6.23349215557972,136.554542830067,1.50910904332327e-31,1.6141877470806e-29
"YDR345C_mRNA",-2.42766204877528,9.82509276491283,134.20472017274,4.92825958239489e-31,5.17556860871143e-29
"YOR092W_mRNA",-2.28199136402717,6.98523485388217,131.919230207742,1.5583219546024e-30,1.60729778746134e-28
"YGR052W_mRNA",-3.35941363594515,4.39386211304893,131.810927248756,1.64569980193408e-30,1.66764246595987e-28
"YKR034W_mRNA",-2.32381617623146,6.7892818138762,131.686966366173,1.75174022030192e-30,1.74449164007998e-28
"YMR118C_mRNA",-2.46375810644213,5.72529134076072,129.863344629194,4.38982897306475e-30,4.29756816074949e-28
"YKL165C_mRNA",2.65206111701826,5.69556354635072,128.683807274833,7.95303131166761e-30,7.65611814269868e-28
"YJL158C_mRNA",2.51862992708435,6.549394528841,126.942503537505,1.91234319529903e-29,1.81076955672905e-27
