"","logFC","logCPM","LR","PValue","FDR"
"YCR105W_mRNA",-13.9474986736928,7.96720243812992,607.805478661087,3.35786642777264e-134,1.93950364868148e-130
"YEL071W_mRNA",-12.4112550906654,6.71334424098614,490.649637641491,1.02910231721099e-108,2.97204749210534e-105
"YBR117C_mRNA",4.48640156686349,5.98027886704442,375.091999195551,1.45723037636913e-83,2.80565421796936e-80
"YDR085C_mRNA",3.69341705707822,6.68228273432866,287.666093320416,1.60361617231339e-64,2.31562175282053e-61
"YCR107W_mRNA",-10.8256941639296,5.23315743132105,282.919390089033,1.73548962701248e-63,2.00483761712482e-60
"YPR127W_mRNA",3.31205732128479,7.15388502782664,269.284191018089,1.62523981405381e-60,1.56456419432913e-57
"YEL070W_mRNA",3.67025859517752,6.9725770423174,263.100543358107,3.61981875290417e-59,2.98686758811064e-56
"YBR116C_mRNA",5.45536131120953,5.40916423377772,262.000808775463,6.28628276535803e-59,4.5386961565885e-56
"YDR403W_mRNA",4.19453054586813,5.36723551105836,261.182173563691,9.48053271094002e-59,6.08439521537662e-56
"YMR009W_mRNA",3.55372152816283,6.63077204869506,243.435834772341,7.00748017521297e-55,4.04752054920301e-52
"YCR098C_mRNA",-3.73464857302623,5.72345838982788,225.769421296367,4.98881966813038e-51,2.61958385482919e-48
"YKR075C_mRNA",3.07577708208003,6.87463189886412,225.037433055386,7.2052007783195e-51,3.46810330796445e-48
"YEL072W_mRNA",-9.37836879279267,4.16179023117942,221.79200030216,3.67713582133204e-50,1.63377973107799e-47
"YGR043C_mRNA",3.17800486209102,7.2119720355652,210.810181811158,9.14342026827151e-48,3.77231396210973e-45
"YMR173W-A_mRNA",2.55367665478232,8.47888191069169,197.377809484197,7.79957647599557e-45,3.00335691502336e-42
"YCR106W_mRNA",-9.89023987889578,4.46849824722233,191.393693537722,1.57806013621743e-43,5.69679709174494e-41
"YMR105C_mRNA",3.11069959070442,7.38947668327623,187.721702784361,9.991933176328e-43,3.30980412867191e-40
"YLR269C_mRNA",3.11407719421745,5.52151410094493,187.658493496048,1.03144865505703e-42,3.30980412867191e-40
