"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","129/2519","181/6447",0.712707182320442,1.82406637730047,9.00491840187739,5.66038000975356e-19,5.82796475770296e-16,4.70314930358313e-16,"YJR094W-A/YJL190C/YDL081C/YER131W/YHR141C/YDR500C/YFR032C-A/YHR010W/YGR085C/YER074W/YMR194W/YER117W/YML063W/YPL119C/YML091C/YDR471W/YGL147C/YDL184C/YGL076C/YIL052C/YEL054C/YML026C/YML024W/YDL130W/YNL096C/YDL191W/YLR264W/YKR094C/YOR312C/YDL075W/YPL079W/YGL031C/YNL178W/YOL120C/YGR148C/YPL249C-A/YIL148W/YOL045W/YLR075W/YNL069C/YER056C-A/YLR185W/YBR191W/YOR096W/YFR031C-A/YLR287C-A/YDR447C/YPR102C/YLR136C/YLR448W/YNL067W/YIL069C/YOR293W/YKL006W/YOL040C/YMR242C/YLR367W/YKL180W/YJL177W/YLR325C/YPR041W/YDL082W/YMR260C/YML073C/YLR441C/YMR230W/YOL127W/YDR152W/YJR014W/YDR418W/YDR450W/YHL001W/YLR344W/YGL189C/YBL027W/YPL237W/YMR142C/YLR029C/YBL092W/YHL033C/YOL039W/YBR031W/YJR145C/YGL103W/YLR388W/YMR146C/YGR027C/YLR212C/YPL143W/YNL175C/YIL133C/YIL018W/YJL189W/YDL136W/YDL061C/YLR061W/YNL255C/YDR382W/YOR234C/YDR429C/YOR182C/YLR262C-A/YGL030W/YNL162W/YPL198W/YLL045C/YFL034C-A/YPL131W/YCR077C/YGR271W/YPL220W/YGR214W/YJL191W/YGR034W/YLR192C/YOL139C/YAL036C/YER007C-A/YLR048W/YHR203C/YDL133C-A/YBR084C-A/YMR121C/YNL244C/YPL203W/YGL135W/YCR031C/YKL056C/YGR169C-A",129
"GO:0006082","organic acid metabolic process","230/2519","378/6447",0.608465608465608,1.55727581491774,8.94192497225552,1.01487486044839e-18,5.82796475770296e-16,4.70314930358313e-16,"YGR087C/YPL095C/YPR002W/YKR009C/YDR089W/YLR446W/YJL052W/YKR034W/YPL262W/YAL012W/YPL111W/YGL055W/YEL071W/YLR174W/YGR019W/YGR256W/YOL126C/YLR231C/YOR393W/YLR303W/YMR250W/YLR044C/YCR012W/YOR317W/YNR001C/YOR375C/YPR006C/YER065C/YOL002C/YPR167C/YGL205W/YER052C/YDR354W/YKL001C/YPL075W/YKL152C/YOR391C/YPL061W/YER010C/YOL058W/YHR205W/YPR035W/YGL062W/YMR170C/YBL015W/YML123C/YMR169C/YJR148W/YPR001W/YLL062C/YAL038W/YNL037C/YDR380W/YBR196C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YHR174W/YIL074C/YHR067W/YCL026C-A/YJR009C/YOR136W/YCL064C/YGL148W/YMR009W/YJR010W/YOR363C/YIR023W/YKL060C/YMR323W/YLR142W/YDL021W/YFR049W/YDR050C/YCR037C/YER061C/YER055C/YNL117W/YML054C/YNL217W/YFL018C/YIR017C/YLR027C/YJL200C/YLR058C/YEL020C/YJL071W/YIL160C/YML099C/YPL017C/YBR084W/YDR511W/YLR438W/YDL192W/YOL136C/YGR286C/YJR078W/YLR134W/YPR067W/YHR208W/YPR145W/YGR240C/YKL188C/YML042W/YPL273W/YKL192C/YJR019C/YFL030W/YNL229C/YDL219W/YMR210W/YFR053C/YNL277W/YAR035W/YLR355C/YDL170W/YHR183W/YBR249C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YPL147W/YOR100C/YOL140W/YJR137C/YAL051W/YER072W/YDL110C/YGL202W/YGL125W/YOR344C/YOR040W/YEL066W/YIL116W/YER015W/YGL009C/YHR137W/YNL071W/YNL009W/YJL196C/YAL062W/YPL019C/YMR205C/YFR055W/YBR248C/YIR033W/YOR347C/YMR280C/YLL027W/YGR254W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YER024W/YER040W/YPR060C/YGL026C/YPR118W/YHR112C/YDL215C/YDR272W/YHR018C/YGL184C/YDR034C/YDR234W/YOL064C/YMR220W/YCR084C/YBR034C/YOR130C/YLR089C/YCL040W/YGL253W/YMR110C/YGL196W/YOR374W/YOL056W/YJR025C/YKL020C/YMR062C/YGR207C/YDR173C/YOR196C/YIL020C/YDR148C/YDL174C/YJL130C/YMR165C/YJR109C/YFL004W/YNL316C/YKR069W/YNR056C/YDR253C/YMR043W/YBR221C/YOR221C/YLR380W/YIL046W/YBR159W/YNR013C/YBR006W/YHR037W/YLR284C/YDR294C/YPL148C/YDR036C/YMR042W/YDR421W/YGR192C/YPR069C/YDR321W/YOR303W/YIL094C/YDR111C/YJR139C/YML096W/YLR345W/YOR126C/YER090W/YBR176W/YDR127W",230
"GO:0043436","oxoacid metabolic process","229/2519","376/6447",0.609042553191489,1.55875241779497,8.94039518943008,1.03028251462044e-18,5.82796475770296e-16,4.70314930358313e-16,"YGR087C/YPL095C/YPR002W/YKR009C/YDR089W/YLR446W/YJL052W/YKR034W/YPL262W/YAL012W/YPL111W/YGL055W/YEL071W/YLR174W/YGR019W/YGR256W/YOL126C/YLR231C/YOR393W/YLR303W/YMR250W/YLR044C/YCR012W/YOR317W/YNR001C/YOR375C/YPR006C/YER065C/YOL002C/YPR167C/YGL205W/YER052C/YDR354W/YKL001C/YPL075W/YKL152C/YOR391C/YPL061W/YER010C/YOL058W/YHR205W/YPR035W/YGL062W/YMR170C/YBL015W/YML123C/YMR169C/YJR148W/YPR001W/YLL062C/YAL038W/YNL037C/YDR380W/YBR196C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YHR174W/YIL074C/YHR067W/YCL026C-A/YJR009C/YOR136W/YCL064C/YGL148W/YMR009W/YJR010W/YOR363C/YIR023W/YKL060C/YMR323W/YLR142W/YDL021W/YFR049W/YDR050C/YCR037C/YER061C/YER055C/YNL117W/YML054C/YNL217W/YFL018C/YIR017C/YLR027C/YJL200C/YLR058C/YEL020C/YJL071W/YIL160C/YML099C/YPL017C/YBR084W/YDR511W/YLR438W/YDL192W/YOL136C/YGR286C/YJR078W/YLR134W/YPR067W/YHR208W/YPR145W/YGR240C/YKL188C/YML042W/YPL273W/YKL192C/YJR019C/YFL030W/YNL229C/YDL219W/YMR210W/YFR053C/YNL277W/YAR035W/YLR355C/YDL170W/YHR183W/YBR249C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YPL147W/YOR100C/YOL140W/YJR137C/YAL051W/YER072W/YDL110C/YGL202W/YGL125W/YOR344C/YOR040W/YEL066W/YIL116W/YER015W/YGL009C/YHR137W/YNL071W/YNL009W/YJL196C/YAL062W/YPL019C/YMR205C/YFR055W/YBR248C/YIR033W/YOR347C/YMR280C/YLL027W/YGR254W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YER024W/YER040W/YPR060C/YGL026C/YPR118W/YHR112C/YDL215C/YDR272W/YHR018C/YGL184C/YDR034C/YDR234W/YOL064C/YCR084C/YBR034C/YOR130C/YLR089C/YCL040W/YGL253W/YMR110C/YGL196W/YOR374W/YOL056W/YJR025C/YKL020C/YMR062C/YGR207C/YDR173C/YOR196C/YIL020C/YDR148C/YDL174C/YJL130C/YMR165C/YJR109C/YFL004W/YNL316C/YKR069W/YNR056C/YDR253C/YMR043W/YBR221C/YOR221C/YLR380W/YIL046W/YBR159W/YNR013C/YBR006W/YHR037W/YLR284C/YDR294C/YPL148C/YDR036C/YMR042W/YDR421W/YGR192C/YPR069C/YDR321W/YOR303W/YIL094C/YDR111C/YJR139C/YML096W/YLR345W/YOR126C/YER090W/YBR176W/YDR127W",229
"GO:0006091","generation of precursor metabolites and energy","147/2519","218/6447",0.674311926605505,1.72579951997844,8.72989967515872,6.82114410039724e-18,2.65966556653497e-15,2.14634178089012e-15,"YMR145C/YIL045W/YLR446W/YJL052W/YMR118C/YPL262W/YFR015C/YLR164W/YLR174W/YGR256W/YMR002W/YOL126C/YGR248W/YOR393W/YLR044C/YCR012W/YJL116C/YNR001C/YOL086C/YER065C/YPL075W/YJR048W/YKL152C/YPL061W/YPL271W/YNL052W/YMR315W/YPR001W/YBR117C/YIL111W/YBL030C/YAL038W/YNL037C/YBR196C/YDL067C/YGR043C/YOR356W/YHR174W/YJR009C/YOR136W/YDR529C/YNL031C/YJR121W/YKL060C/YMR323W/YBR238C/YPR184W/YGL187C/YDL021W/YDR487C/YFR049W/YDR050C/YIL070C/YLR087C/YBL021C/YNL117W/YFL053W/YFL018C/YIL099W/YPR191W/YDL085W/YJL200C/YLR256W/YLR395C/YOL045W/YNL242W/YHR051W/YKL035W/YOR095C/YGR244C/YML070W/YJL209W/YLR038C/YIL050W/YNL241C/YOL136C/YKL148C/YDR298C/YLR134W/YNR034W/YGR240C/YLL041C/YPR074C/YAL017W/YGL134W/YKR058W/YJR120W/YPL159C/YPL252C/YFR053C/YPR160W/YJL166W/YER129W/YHR183W/YIL024C/YML110C/YLR304C/YGR183C/YKL127W/YOR377W/YOR344C/YPL031C/YMR256C/YNL009W/YKR046C/YDR031W/YEL011W/YMR205C/YDR081C/YER067W/YEL024W/YPL219W/YOR347C/YDR178W/YGR254W/YHR001W-A/YMR105C/YOR065W/YHR163W/YPL132W/YLL013C/YOR142W/YBR010W/YFR017C/YCL040W/YGL253W/YLR139C/YOR374W/YOL056W/YML120C/YFR021W/YGL226W/YDR148C/YMR165C/YGR177C/YKL093W/YER059W/YLR258W/YOR178C/YGR192C/YGL191W/YBL045C/YOR002W/YOL008W/YCR073W-A/YLR345W/YNR074C",147
"GO:0019752","carboxylic acid metabolic process","218/2519","358/6447",0.608938547486033,1.55848623090213,8.70671826073673,7.83637468042126e-18,2.65966556653497e-15,2.14634178089012e-15,"YGR087C/YPL095C/YPR002W/YKR009C/YLR446W/YJL052W/YPL262W/YAL012W/YPL111W/YGL055W/YEL071W/YLR174W/YGR019W/YGR256W/YOL126C/YLR231C/YOR393W/YLR303W/YMR250W/YLR044C/YCR012W/YOR317W/YNR001C/YOR375C/YPR006C/YER065C/YOL002C/YPR167C/YGL205W/YER052C/YDR354W/YKL001C/YPL075W/YKL152C/YOR391C/YPL061W/YER010C/YOL058W/YHR205W/YPR035W/YGL062W/YMR170C/YBL015W/YMR169C/YJR148W/YPR001W/YLL062C/YAL038W/YNL037C/YDR380W/YBR196C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YHR174W/YIL074C/YHR067W/YCL026C-A/YJR009C/YOR136W/YCL064C/YGL148W/YMR009W/YJR010W/YOR363C/YIR023W/YKL060C/YMR323W/YLR142W/YDL021W/YFR049W/YDR050C/YER061C/YER055C/YNL117W/YML054C/YFL018C/YIR017C/YLR027C/YJL200C/YLR058C/YEL020C/YJL071W/YIL160C/YML099C/YPL017C/YBR084W/YDR511W/YLR438W/YDL192W/YOL136C/YGR286C/YJR078W/YLR134W/YPR067W/YHR208W/YPR145W/YGR240C/YKL188C/YML042W/YPL273W/YKL192C/YJR019C/YFL030W/YDL219W/YMR210W/YFR053C/YNL277W/YAR035W/YLR355C/YDL170W/YHR183W/YBR249C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YPL147W/YOR100C/YOL140W/YJR137C/YAL051W/YDL110C/YGL202W/YGL125W/YOR344C/YOR040W/YEL066W/YIL116W/YER015W/YGL009C/YHR137W/YNL071W/YNL009W/YJL196C/YAL062W/YMR205C/YFR055W/YBR248C/YIR033W/YOR347C/YMR280C/YLL027W/YGR254W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YER024W/YPR060C/YGL026C/YPR118W/YHR112C/YDL215C/YDR272W/YHR018C/YGL184C/YDR034C/YDR234W/YOL064C/YCR084C/YBR034C/YOR130C/YLR089C/YCL040W/YGL253W/YMR110C/YGL196W/YOR374W/YOL056W/YJR025C/YKL020C/YMR062C/YGR207C/YDR173C/YOR196C/YIL020C/YDR148C/YDL174C/YJL130C/YMR165C/YJR109C/YNL316C/YKR069W/YNR056C/YDR253C/YMR043W/YBR221C/YOR221C/YLR380W/YIL046W/YBR159W/YBR006W/YHR037W/YLR284C/YDR294C/YPL148C/YDR036C/YMR042W/YDR421W/YGR192C/YPR069C/YDR321W/YOR303W/YIL094C/YDR111C/YJR139C/YML096W/YLR345W/YOR126C/YER090W/YBR176W/YDR127W",218
"GO:0006163","purine nucleotide metabolic process","99/2519","140/6447",0.707142857142857,1.80982532751092,7.7574226242929,1.79996598425506e-14,5.09090379213473e-12,4.10834341318567e-12,"YMR145C/YIL155C/YLR446W/YJL052W/YLR174W/YGR256W/YGR248W/YLR231C/YOR393W/YCR012W/YKL016C/YJL116C/YNL129W/YOL086C/YDR322C-A/YOL059W/YPL075W/YKL152C/YPL061W/YPL271W/YMR315W/YBR117C/YAL038W/YBR196C/YDL004W/YDL022W/YGR043C/YHR174W/YJR009C/YJL005W/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YHR202W/YDR050C/YML081C-A/YDR226W/YKR080W/YBL099W/YDL085W/YPL078C/YOR095C/YOR128C/YDR400W/YML035C/YPR020W/YNL241C/YOL136C/YOR222W/YJR078W/YDR298C/YDR377W/YNR034W/YGR240C/YAR015W/YJR049C/YPR074C/YOL077W-A/YFR053C/YML022W/YDR408C/YHR183W/YER099C/YMR303C/YGL234W/YBR039W/YOR344C/YNL009W/YBR252W/YMR205C/YCL047C/YER170W/YOR347C/YGR254W/YHR163W/YNL220W/YLR432W/YHR074W/YCL040W/YGL253W/YOR374W/YOL056W/YJR025C/YML120C/YMR120C/YPL188W/YOR020W-A/YOR209C/YDR399W/YBL068W/YGR192C/YLR359W/YEL041W/YCR073W-A/YLR209C/YLR345W/YDL185W",99
"GO:0044283","small molecule biosynthetic process","203/2519","349/6447",0.581661891117478,1.48867574912044,7.51645887498406,9.83067923506987e-14,2.38323752313051e-11,1.92326521576329e-11,"YGR087C/YKR097W/YPL095C/YLR377C/YOR047C/YIL053W/YJL052W/YMR271C/YAL012W/YPL201C/YGL055W/YEL071W/YGR144W/YOL126C/YLR231C/YLR303W/YOL055C/YAL060W/YAL061W/YLR044C/YCR012W/YML087C/YOL086C/YOR375C/YPR167C/YER052C/YDR354W/YKL001C/YKL152C/YNL334C/YOR391C/YPL061W/YOL058W/YPR035W/YER062C/YGL062W/YMR170C/YMR169C/YJR148W/YLL062C/YNL037C/YDR380W/YBR196C/YBR240C/YDL168W/YML075C/YCL018W/YGR124W/YLR372W/YMR207C/YMR272C/YIL074C/YHR067W/YJR009C/YOR136W/YGL148W/YMR009W/YGR060W/YKL060C/YML028W/YDR487C/YDR050C/YER061C/YER055C/YFL060C/YFL018C/YMR278W/YIR017C/YBR239C/YLR027C/YJL200C/YLR058C/YJL071W/YIL017C/YGR175C/YOR095C/YBR084W/YFL059W/YPR121W/YDR511W/YBR256C/YLR438W/YGR286C/YLR228C/YHR072W/YCL039W/YLR134W/YPR067W/YHR208W/YPR145W/YGL012W/YMR015C/YGL001C/YPL273W/YML125C/YGL227W/YKL192C/YFL030W/YPL214C/YMR210W/YPL252C/YMR134W/YNL277W/YHR190W/YML022W/YLR355C/YBR249C/YML110C/YLL058W/YDL131W/YHR025W/YNR050C/YJL097W/YOR143C/YOL140W/YJR137C/YMR303C/YDR213W/YDL110C/YGL202W/YGL125W/YIL116W/YGL009C/YHR137W/YJL196C/YAL062W/YDR017C/YML106W/YMR070W/YDR081C/YFR055W/YBR248C/YIR033W/YLR410W/YMR280C/YLL027W/YCR034W/YNL104C/YGR208W/YNL135C/YML081W/YJL060W/YPR060C/YGL026C/YPR118W/YLL013C/YHR018C/YGL184C/YDR287W/YDR034C/YDR234W/YER044C/YOL064C/YMR220W/YCR084C/YLR450W/YBR034C/YOR130C/YLR089C/YMR110C/YHR007C/YOR374W/YBL033C/YJR025C/YPL028W/YKL020C/YMR062C/YBR105C/YDR173C/YOR196C/YIL020C/YJR109C/YNL316C/YKR069W/YNR056C/YMR096W/YMR043W/YJL089W/YOR221C/YLR380W/YOL096C/YIL046W/YBR159W/YHR037W/YJR060W/YLR100W/YLR070C/YDR313C/YDR399W/YPL148C/YMR042W/YGR192C/YPR069C/YOR303W/YIL094C/YLR290C/YJR139C/YML096W/YOL008W/YPL268W/YER090W/YBR176W/YDR127W",203
"GO:0072521","purine-containing compound metabolic process","124/2519","190/6447",0.652631578947368,1.67031194500742,7.51007330955948,1.19655637045025e-13,2.53819520081758e-11,2.04831557625759e-11,"YNL141W/YMR145C/YIL155C/YLR446W/YJL052W/YLR174W/YGR256W/YGR248W/YLR231C/YOR393W/YCR012W/YOR317W/YKL016C/YJL116C/YNL129W/YNR001C/YOL086C/YDL238C/YDR322C-A/YOL059W/YPL075W/YKL152C/YPL061W/YPL271W/YMR315W/YIR028W/YBR117C/YAL038W/YBR196C/YML075C/YDL004W/YDL022W/YIR027C/YGR043C/YMR207C/YHR174W/YJR009C/YJL005W/YLR295C/YJR121W/YKL060C/YMR323W/YDL021W/YHR202W/YDR050C/YML081C-A/YDR226W/YKR080W/YMR278W/YBL099W/YDL085W/YPL078C/YOR095C/YGR244C/YOR128C/YDR400W/YML035C/YPR020W/YNL241C/YOL136C/YOR222W/YJR078W/YDR298C/YDR377W/YNR034W/YDR319C/YGR240C/YGL126W/YAR015W/YJR049C/YPL273W/YPR074C/YJR019C/YOR054C/YOL077W-A/YFR053C/YML022W/YDR408C/YHR183W/YER099C/YMR303C/YGL234W/YBR039W/YOR344C/YNL071W/YNL009W/YBR252W/YMR205C/YCL047C/YER170W/YOR347C/YGR254W/YHR163W/YNL220W/YOR142W/YLR432W/YMR220W/YHR074W/YLR450W/YBR022W/YCL040W/YGL253W/YOR374W/YOL056W/YJR025C/YML120C/YMR120C/YDR531W/YDR148C/YPL188W/YKR072C/YBR221C/YOR020W-A/YOR209C/YIR032C/YDR399W/YBL068W/YGR192C/YLR359W/YEL041W/YCR073W-A/YLR209C/YLR345W/YDL185W",124
"GO:0046496","nicotinamide nucleotide metabolic process","67/2519","86/6447",0.77906976744186,1.99391138971722,7.43032294625882,1.69913010432836e-13,3.20380420782803e-11,2.58545995991953e-11,"YMR145C/YIL155C/YLR446W/YJL052W/YLR174W/YGR256W/YGR248W/YLR231C/YOR393W/YCR012W/YNL129W/YOL086C/YOL059W/YPL075W/YKL152C/YPL061W/YMR315W/YBR117C/YAL038W/YBR196C/YDL022W/YGR043C/YHR174W/YJR009C/YKL060C/YMR323W/YDL021W/YNL200C/YHR202W/YDR050C/YDL085W/YOR095C/YDR400W/YNL241C/YOL136C/YOR222W/YJR078W/YNR034W/YGR240C/YJR049C/YPR074C/YFR053C/YHR183W/YMR303C/YOR344C/YNL009W/YDR481C/YMR205C/YCL047C/YOR347C/YGR254W/YHR163W/YHR074W/YCL040W/YGL253W/YOR374W/YOL056W/YJR025C/YML120C/YPL188W/YOR209C/YGR192C/YEL041W/YCR073W-A/YLR209C/YLR345W/YKL151C",67
"GO:0055086","nucleobase-containing small molecule metabolic process","158/2519","260/6447",0.607692307692308,1.5552966683971,7.31888930354117,4.51921383231454e-13,7.08504122141726e-11,5.71760607205524e-11,"YNL141W/YOR047C/YMR145C/YIL155C/YLR446W/YJL052W/YMR271C/YLR174W/YGR256W/YGR248W/YDL055C/YLR231C/YOR393W/YCR012W/YOR317W/YKL016C/YJL116C/YNL129W/YNR001C/YOL086C/YDL238C/YDR322C-A/YOL059W/YPL075W/YKL152C/YPL061W/YPL271W/YMR315W/YER037W/YIR028W/YBR117C/YAL038W/YBR196C/YML075C/YDL004W/YDL022W/YIR027C/YGR043C/YMR207C/YHR174W/YJR009C/YDL166C/YJL005W/YLR295C/YJR121W/YKL060C/YMR323W/YER003C/YDL021W/YNL200C/YHR202W/YDR050C/YML081C-A/YDR226W/YKR080W/YMR278W/YBL099W/YDL085W/YPL078C/YKL035W/YOR095C/YGR244C/YOR128C/YCR026C/YDR400W/YML035C/YPR020W/YNL241C/YOL136C/YOR222W/YJR078W/YDR298C/YDR377W/YNR034W/YDR319C/YGR240C/YGL126W/YAR015W/YJR049C/YPL273W/YPR074C/YBR111C/YOR074C/YER005W/YJR019C/YOR054C/YOL077W-A/YFR053C/YML022W/YDR408C/YHR183W/YNR012W/YER099C/YJR103W/YMR303C/YGL234W/YFL045C/YKL127W/YBR039W/YOR344C/YNL071W/YNL009W/YML106W/YBR252W/YDR481C/YMR205C/YBR242W/YCL047C/YER170W/YOR347C/YGR254W/YMR105C/YKL216W/YHR163W/YNL220W/YMR224C/YOR142W/YLR432W/YMR220W/YHR074W/YER070W/YLR450W/YBR022W/YGR180C/YOR111W/YCL040W/YGL253W/YOR374W/YEL042W/YOL056W/YJR025C/YML120C/YMR120C/YFL017C/YDR531W/YDR148C/YJL130C/YPL188W/YKR072C/YJR051W/YBR221C/YLR043C/YOR020W-A/YOR209C/YDL103C/YIR032C/YDR399W/YBL068W/YGR192C/YOR303W/YLR359W/YEL041W/YCR073W-A/YLR209C/YLR345W/YIL066C/YKL151C/YDL185W",158
