"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072521","purine-containing compound metabolic process","122/2722","190/6447",0.642105263157895,1.52081286979388,6.22875864580277,4.82426596072857e-10,8.19160360131711e-07,6.97741203162216e-07,"YBR117C/YGR043C/YGR248W/YCR012W/YJL052W/YAL038W/YHR174W/YGR244C/YMR246W/YPL273W/YIR031C/YAR015W/YGL253W/YDR400W/YDL022W/YNR043W/YIL009W/YDR399W/YER043C/YOR317W/YHR183W/YMR120C/YMR303C/YBR221C/YNR016C/YGR254W/YKL060C/YLR359W/YML081C-A/YJR105W/YGL126W/YGR204W/YOR374W/YOR393W/YFR053C/YOR020W-A/YOR209C/YLR153C/YPR021C/YBR022W/YKL181W/YKL152C/YOL136C/YML022W/YMR208W/YNL216W/YPR074C/YOL077W-A/YGR061C/YOL061W/YIR032C/Q0085/YPL271W/YDL004W/YNR034W/YJR133W/YGL059W/YKR080W/YML126C/YOR142W/YOR054C/YGL234W/YNL199C/YML035C/YGR256W/YCR073W-A/YLR174W/YIL042C/YLR345W/YOR128C/YMR083W/YOR184W/YLR028C/YJR049C/YML075C/YPL134C/YHR163W/YOL056W/YNL220W/YOL059W/YDR408C/YNL141W/YBL068W/YLR446W/YDR196C/YOR095C/YGR010W/YDR531W/YIL083C/YDL238C/YBR127C/YKR072C/YHR216W/YLR354C/YIR027C/YGL067W/YOR163W/YDR441C/YJL116C/YOR344C/Q0130/YER170W/YMR278W/YHR202W/YHL011C/YBL098W/YDR226W/YOR222W/YBR145W/YDR148C/YMR145C/YPL075W/YLR450W/YHR074W/YJR019C/YJR025C/YJL005W/YMR323W/YOR311C/YDR428C/YNR001C/YEL041W",122
"GO:0055086","nucleobase-containing small molecule metabolic process","155/2722","260/6447",0.596153846153846,1.41197790086475,5.79624332652788,6.35684296555548e-09,5.3969596777566e-06,4.5970011761438e-06,"YBR117C/YGR043C/YMR105C/YGR248W/YCR012W/YJL052W/YNL200C/YAL038W/YHR174W/YGR244C/YMR246W/YPL273W/YIR031C/YAR015W/YGL253W/YDR400W/YDL022W/YNR043W/YER037W/YIL009W/YDR399W/YER043C/YOR317W/YHR183W/YMR120C/YGL101W/YMR303C/YBR221C/YGL037C/YNR016C/YGR254W/YKL060C/YLR359W/YML081C-A/YJR105W/YGL126W/YGR209C/YGR204W/YOR374W/YOR393W/YFR053C/YOR020W-A/YOR209C/YLR153C/YPR021C/YMR271C/YBR022W/YKL181W/YLR014C/YLR043C/YKL152C/YOL136C/YML022W/YMR208W/YNL216W/YPR074C/YOL077W-A/YGR061C/YOL061W/YIR032C/Q0085/YPL271W/YDL004W/YNR034W/YJR133W/YGL059W/YKR080W/YOR111W/YML126C/YOR142W/YOR054C/YGL234W/YNL199C/YML035C/YGR256W/YCR073W-A/YLR174W/YPR106W/YCR026C/YIL042C/YLR345W/YBR111C/YOR128C/YMR083W/YOR184W/YLR028C/YDL125C/YJR049C/YNR012W/YML075C/YKL216W/YPL134C/YHR163W/YKL035W/YBL039C/YOL056W/YNL220W/YLR420W/YOL059W/YDR408C/YNL141W/YBL068W/YLR446W/YDR196C/YOR095C/YGR010W/YDL045C/YDL103C/YOR336W/YDL166C/YDR531W/YIL083C/YDL238C/YBR127C/YKR072C/YJR057W/YHR216W/YLR354C/YIR027C/YGL067W/YOR163W/YDR441C/YJL116C/YOR344C/Q0130/YER170W/YKL127W/YFL045C/YMR278W/YHR202W/YHL011C/YDR520C/YBL098W/YOR047C/YDR226W/YOR222W/YBR145W/YBR242W/YDR148C/YMR145C/YPL075W/YLR450W/YDL055C/YHR074W/YJR019C/YGL224C/YJL130C/YJR025C/YJL005W/YMR323W/YOR311C/YDR428C/YER003C/YNR001C/YEL041W",155
"GO:0019637","organophosphate metabolic process","234/2722","423/6447",0.553191489361702,1.31022245845514,5.64192111777165,1.41388667269162e-08,7.7674461733501e-06,6.61612487891826e-06,"YBR117C/YGR043C/YMR105C/YGR248W/YCR012W/YJL052W/YNL200C/YAL038W/YHR174W/YGR244C/YMR246W/YIL107C/YAR015W/YGL253W/YKL165C/YDR400W/YDL022W/YNR043W/YFL053W/YGR157W/YOR298W/YER037W/YFL060C/YIL009W/YNL130C/YDR399W/YER043C/YOR317W/YNL334C/YHR183W/YJL155C/YHR123W/YMR120C/YGL101W/YMR303C/YKL212W/YBR221C/YHR046C/YGR202C/YGL037C/YDR477W/YKR067W/YNR016C/YJL100W/YGR254W/YKL060C/YPL202C/YBR029C/YLR359W/YNL169C/YML081C-A/YDR434W/YMR096W/YOL032W/YDR123C/YJR105W/YGL126W/YGR209C/YGR204W/YOR374W/YKR070W/YOR393W/YLR088W/YLR377C/YFR053C/YDR173C/YMR165C/YOR020W-A/YOR209C/YLR153C/YPR021C/YPL175W/YMR271C/YKL181W/YLR014C/YLR043C/YKL152C/YOL136C/YML022W/YDR372C/YHL020C/YMR208W/YNL216W/YPR074C/YOL077W-A/YLR133W/YGR061C/YOR143C/YOL061W/Q0085/YBL011W/YMR013C/YPL271W/YDL004W/YKR089C/YNR034W/YJR133W/YGL059W/YEL029C/YPL110C/YAL009W/YNL158W/YKR080W/YCR068W/YOR111W/YLR193C/YML126C/YIL039W/YMR079W/YOR142W/YOR054C/YJR156C/YGL234W/YNL199C/YML035C/YGR256W/YBR042C/YLR347C/YJL167W/YDR096W/YJL145W/YCR073W-A/YCR044C/YLR174W/YGL142C/YPR106W/YCR026C/YIL042C/YLR345W/YBR111C/YML072C/YOR128C/YMR083W/YDR284C/YLR028C/YDL125C/YJR049C/YNR012W/YML075C/YKL216W/YPL134C/YHR163W/YKL035W/YHL032C/YBL039C/YFL025C/YOL056W/YNL220W/YLR420W/YMR008C/YOL059W/YDR408C/YNL141W/YBL068W/YLR446W/YDR315C/YDR196C/YOR095C/YPL103C/YGR010W/YBR086C/YDL045C/YCL052C/YJL062W/YLR168C/YDL103C/YOR336W/YDL166C/YDR531W/YIL083C/YNL012W/YBR127C/YKR072C/YJR057W/YHR216W/YLR354C/YNL032W/YNL038W/YGL067W/YOR163W/YDR441C/YJL116C/YIL124W/YOR344C/Q0130/YKR043C/YER170W/YGR149W/YKL127W/YFL045C/YPL189W/YCR017C/YJL153C/YHR202W/YHL011C/YDR520C/YDR018C/YGR046W/YBL098W/YDR503C/YDR226W/YOL055C/YOR222W/YBR145W/YOR086C/YBR242W/YBR109C/YDR148C/YBL060W/YOL065C/YMR145C/YPL075W/YFL059W/YLR450W/YLL031C/YDL055C/YHR074W/YJR019C/YGL224C/YDR208W/YJL130C/YJR025C/YOR149C/YJL005W/YNL010W/YMR323W/YOR311C/YDR428C/YPL120W/YPR140W/YER003C/YKL126W/YNR001C/YEL041W",234
"GO:0006753","nucleoside phosphate metabolic process","145/2722","243/6447",0.596707818930041,1.41328997378471,5.61368687262056,1.82978708441699e-08,7.7674461733501e-06,6.61612487891826e-06,"YBR117C/YGR043C/YMR105C/YGR248W/YCR012W/YJL052W/YNL200C/YAL038W/YHR174W/YGR244C/YMR246W/YAR015W/YGL253W/YDR400W/YDL022W/YNR043W/YER037W/YIL009W/YDR399W/YOR317W/YHR183W/YMR120C/YGL101W/YMR303C/YBR221C/YGL037C/YNR016C/YGR254W/YKL060C/YLR359W/YML081C-A/YJR105W/YGL126W/YGR209C/YGR204W/YOR374W/YOR393W/YFR053C/YOR020W-A/YOR209C/YLR153C/YPR021C/YMR271C/YKL181W/YLR014C/YLR043C/YKL152C/YOL136C/YML022W/YMR208W/YNL216W/YPR074C/YOL077W-A/YGR061C/YOL061W/Q0085/YPL271W/YDL004W/YNR034W/YJR133W/YGL059W/YKR080W/YOR111W/YML126C/YOR142W/YOR054C/YGL234W/YNL199C/YML035C/YGR256W/YCR073W-A/YLR174W/YPR106W/YCR026C/YIL042C/YLR345W/YBR111C/YOR128C/YMR083W/YLR028C/YDL125C/YJR049C/YNR012W/YML075C/YKL216W/YPL134C/YHR163W/YKL035W/YBL039C/YOL056W/YNL220W/YLR420W/YOL059W/YDR408C/YNL141W/YBL068W/YLR446W/YDR196C/YOR095C/YGR010W/YDL045C/YDL103C/YOR336W/YDL166C/YDR531W/YIL083C/YBR127C/YKR072C/YJR057W/YHR216W/YLR354C/YGL067W/YOR163W/YDR441C/YJL116C/YOR344C/Q0130/YER170W/YKL127W/YFL045C/YHR202W/YHL011C/YDR520C/YBL098W/YDR226W/YOR222W/YBR145W/YBR242W/YDR148C/YMR145C/YPL075W/YLR450W/YDL055C/YHR074W/YJR019C/YGL224C/YJL130C/YJR025C/YJL005W/YMR323W/YOR311C/YDR428C/YER003C/YNR001C/YEL041W",145
"GO:0044283","small molecule biosynthetic process","196/2722","349/6447",0.561604584527221,1.33014869818038,5.42069116884655,5.01183627072725e-08,1.6682050095315e-05,1.42093712918993e-05,"YEL071W/YMR009W/YMR169C/YGL055W/YCR012W/YJL052W/YKR069W/YPL280W/YGR060W/YLR056W/YMR280C/YPL273W/YKL001C/YKL182W/YNR043W/YPR167C/YMR015C/YFL060C/YJL089W/YDL110C/YAL060W/YDR399W/YNL334C/YJL088W/YBR112C/YHR007C/YNL103W/YER073W/YPR118W/YBR218C/YIR017C/YJL071W/YMR303C/YBR105C/YMR296C/YDR255C/YNL256W/YPR069C/YMR202W/YLL013C/YHR046C/YPL231W/YNL277W/YDR477W/YBR159W/YNR016C/YDL015C/YKL060C/YJL196C/YKR097W/YOR375C/YOL126C/YBR177C/YMR096W/YHR072W/YGR066C/YPR060C/YBR084W/YIL051C/YJR024C/YJR105W/YGR204W/YOR374W/YLR100W/YDR380W/YFR055W/YLR377C/YDR173C/YER062C/YMR271C/YHR018C/YPL028W/YKL152C/YLR134W/YML022W/YIR033W/YHR033W/YMR208W/YPR035W/YLR372W/YLR438W/YOR143C/YDR511W/YCL039W/YER081W/YBR240C/YBR176W/YEL029C/YLR201C/YGL001C/YPR145W/YDR035W/YMR110C/YPR067W/YML126C/YHR037W/YCL018W/YJR156C/YBR026C/YBR263W/YPL148C/YJR109C/YGL119W/YNL280C/YJL167W/YHR063C/YOR196C/YBR256C/YOR171C/YEL046C/YMR210W/YGR208W/YIL020C/YDL080C/YMR083W/YOR184W/YLR290C/YNR041C/YGL184C/YML075C/YDR376W/YBR166C/YDR062W/YBR034C/YOL052C/YGR175C/YER044C/YBR002C/YHR067W/YLR303W/YDR315C/YMR070W/YOR095C/YLL027W/YIL094C/YKL055C/YMR134W/YKL184W/YER090W/YMR289W/YJL054W/YBR153W/YLR146C/YML008C/YDR234W/YDL168W/YGR037C/YDR354W/YOR130C/YCL009C/YIL017C/YLR355C/YDR441C/YPL201C/YEL038W/YER086W/YGR286C/YGL125W/YOL058W/YMR278W/YGR155W/YCR034W/YJL153C/YMR020W/YLL062C/YBL098W/YPL133C/YJL200C/YMR170C/YML096W/YOR047C/YFL018C/YKL150W/YOL055C/YBR145W/YJR137C/YDR300C/YHR042W/YBR003W/YOR108W/YOL066C/YFL059W/YDL171C/YML087C/YLR450W/YDL131W/YBR248C/YHR137W/YDR204W/YOR125C/YJR025C/YNL010W/YOR202W/YBR058C/YMR108W/YMR043W",196
"GO:0006796","phosphate-containing compound metabolic process","262/2722","487/6447",0.537987679671458,1.27421255357895,5.37965910379832,5.89471734816785e-08,1.6682050095315e-05,1.42093712918993e-05,"YBR117C/YGR043C/YMR105C/YGR248W/YCR012W/YJL052W/YNL200C/YAL038W/YHR174W/YGR244C/YMR246W/YIL107C/YAR015W/YGL253W/YKL165C/YDR400W/YDL022W/YNR043W/YFL053W/YGR157W/YOR298W/YER037W/YFL060C/YMR291W/YIL009W/YNL130C/YDR399W/YER043C/YOR317W/YNL334C/YHR183W/YJL155C/YHR123W/YPR149W/YMR120C/YGL101W/YMR303C/YKL212W/YGL180W/YBR221C/YHR046C/YGR202C/YGL037C/YDR477W/YKR067W/YNR016C/YJL100W/YGR254W/YKL060C/YPL202C/YAL040C/YBR029C/YLR359W/YNL169C/YML081C-A/YDR434W/YMR096W/YOL032W/YDR123C/YJR105W/YGL126W/YGR209C/YGR204W/YOR374W/YKR070W/YOR393W/YLR088W/YLR377C/YFR053C/YDR173C/YMR165C/YOR020W-A/YOR283W/YOR209C/YLR153C/YPR021C/YPL175W/YMR271C/YKL181W/YLR014C/YLR043C/YKL152C/YOL136C/YML022W/YDR372C/YHL020C/YMR208W/YNL216W/YPR074C/YOL077W-A/YLR133W/YGR061C/YPL256C/YOR143C/YOL061W/Q0085/YBL011W/YMR013C/YJL164C/YPL271W/YDL004W/YPR073C/YKR089C/YNR034W/YJR133W/YGL059W/YEL029C/YBR028C/YPL110C/YAL009W/YNL158W/YKR080W/YML051W/YCR068W/YOR111W/YLR193C/YML126C/YIL039W/YMR079W/YOR142W/YOR054C/YJR156C/YGL234W/YNL199C/YML035C/YGR256W/YBR042C/YLR347C/YJL167W/YDR096W/YJL145W/YCR073W-A/YCR044C/YLR174W/YGR233C/YGL142C/YPR106W/YCR026C/YIL042C/YPL150W/YLR345W/YBR111C/YML072C/YOR128C/YNL249C/YMR083W/YDR284C/YLR028C/YDL125C/YJR049C/YNR012W/YML075C/YKL216W/YPL134C/YHR163W/YKL035W/YHL032C/YBL039C/YFL025C/YOL056W/YNL220W/YLR420W/YMR008C/YOL059W/YDR103W/YDR408C/YNL141W/YBL068W/YLR446W/YDR315C/YDR196C/YJR076C/YOR095C/YPL103C/YGR010W/YBR086C/YDL045C/YCL052C/YDL073W/YJL062W/YLR168C/YDL103C/YOR336W/YDL166C/YDR531W/YIL083C/YNL012W/YBR127C/YKR072C/YJR057W/YGR194C/YHR216W/YGR123C/YLR354C/YNL032W/YNL038W/YGL067W/YOR163W/YDR441C/YJL116C/YJL134W/YIL124W/YOR344C/Q0130/YKR043C/YER170W/YGR149W/YKL127W/YFL045C/YPL189W/YCR017C/YJL153C/YHR202W/YHL011C/YDR520C/YDR018C/YGR046W/YBL098W/YFR007W/YDR503C/YDR226W/YOL055C/YOR222W/YBR145W/YOR086C/YBR242W/YBR109C/YDR148C/YBL060W/YOL065C/YMR145C/YPL075W/YFL059W/YLR450W/YLL031C/YDL055C/YHR074W/YBR125C/YJR019C/YGL224C/YDR208W/YJL130C/YJR025C/YOR149C/YJL005W/YDR109C/YNL010W/YMR323W/YOR311C/YBL056W/YDR428C/YGR052W/YGR108W/YOR090C/YPL120W/YPR140W/YDR009W/YER003C/YKL126W/YNR001C/YMR028W/YEL041W",262
"GO:0055085","transmembrane transport","260/2722","484/6447",0.537190082644628,1.27232346172297,5.32477679599988,7.93445368832534e-08,1.92467176611092e-05,1.63938937861038e-05,"YCR098C/YPL265W/YJR152W/YLR092W/YDR343C/YFL054C/YBR294W/YBR068C/YHL016C/YHL008C/YMR058W/YNL052W/YML116W/YGL253W/YDL022W/YDR342C/YMR241W/YER103W/Q0105/YKR039W/YJL212C/YDR135C/YCL025C/YHL040C/YER053C/YFL050C/YER145C/YGL006W/YER056C/Q0045/YDR046C/YGL114W/YNL142W/YLR136C/YMR088C/YPR194C/Q0250/YKL120W/YGL187C/YPR058W/YOR065W/YPL092W/YOL137W/YHR051W/YHR175W/YOR254C/YOR092W/YNL101W/YPL274W/YCL005W-A/YEL024W/YAL005C/YKL195W/YGL077C/YPL202C/YKL064W/YFR040W/YLR034C/YPR191W/YOL027C/YML081C-A/YOL126C/YEL027W/YPL063W/YKL174C/YGL139W/YNR002C/YDR352W/YDR160W/YBR298C/YEL064C/YJL163C/YIL111W/YGR257C/YOR153W/YFR053C/YLL053C/YHR050W/YDR529C/YNR017W/YDR406W/YGR125W/YIL114C/YCR028C/YAL067C/YPR021C/YOR332W/YGR243W/YKR052C/YER019C-A/YBR180W/YPL224C/YEL065W/YGL254W/YOR390W/YDR497C/YMR221C/YOL077W-A/YLR152C/YPL196W/YFL055W/Q0085/YGR138C/YLR188W/YJL193W/YPR201W/YNL070W/YOR079C/YPL271W/YML038C/YDL004W/YOR045W/YLR447C/YOL031C/YEL063C/YML030W/YKR093W/YER119C/YOR020C/YBR104W/YOL044W/YGL186C/YOR328W/YPL244C/YDR011W/YNL121C/YFR033C/YNL305C/YMR243C/YDR086C/YNL291C/YLL015W/YJL143W/YIL166C/YPR128C/YPL169C/YAL053W/YBL075C/YAL028W/YDL245C/YLL055W/YPL112C/YHR094C/YBR295W/YHR002W/YLR292C/Q0275/YDR119W/YJR124C/YDR270W/YBR220C/YDR508C/YJR077C/YHR092C/YER017C/YBR192W/YPR024W/YGL008C/YMR155W/YOR011W/YOL119C/YKR105C/YPR198W/YER039C/YDR384C/YIL088C/YNL055C/YLL028W/YPL134C/YOR273C/YBR069C/YBR021W/YPR138C/YGL225W/YBR008C/YGR065C/YGR239C/YEL031W/YJL166W/YBR293W/YHR039C-A/YKR104W/YGR260W/YPL279C/YBR086C/YLR241W/YPR011C/YNL131W/YJL054W/YJL198W/YMR203W/YNL065W/YBR127C/YDR536W/YBL042C/YBR147W/YIL023C/YOR334W/YOR130C/YHR026W/YKL209C/YPR115W/YPL221W/YCL038C/YOL103W/YNR055C/YER060W/Q0130/YDR244W/YIL134W/YDL217C/YDR161W/YNL329C/YJR106W/YOR306C/YIL006W/YDR265W/YPL189W/YGR217W/YBR187W/YNR072W/YOL130W/YBR036C/YCR023C/YKR103W/YGL153W/YPR133W-A/YBR132C/YPR156C/YOR222W/YDR040C/YAL022C/YIL090W/YHR032W/YKR016W/YOL084W/YOL092W/YMR054W/YDR338C/YOR270C/YPR036W/YNL095C/YBL045C/YLR038C/YLR008C/YGR055W/YDL247W/YDR205W/YEL004W/YPL234C/YOR297C/YOR291W/YLL048C/YIL121W/YMR056C/YDL183C/YJR001W/YOR087W/YJL059W/YLR004C",260
"GO:0006793","phosphorus metabolic process","267/2722","500/6447",0.534,1.26476781778104,5.26898911506112,1.06267728058913e-07,2.25553252805042e-05,1.92120866253876e-05,"YBR117C/YGR043C/YMR105C/YGR248W/YCR012W/YJL052W/YNL200C/YAL038W/YHR174W/YGR244C/YMR246W/YIL107C/YAR015W/YGL253W/YKL165C/YDR400W/YDL022W/YNR043W/YFL053W/YGR157W/YOR298W/YER037W/YFL060C/YMR291W/YIL009W/YNL130C/YDR399W/YER043C/YOR317W/YNL334C/YHR183W/YJL155C/YHR123W/YPR149W/YMR120C/YGL101W/YMR303C/YKL212W/YGL180W/YBR221C/YHR046C/YGR202C/YGL037C/YDR477W/YKR067W/YNR016C/YJL100W/YGR254W/YKL060C/YPL202C/YAL040C/YBR029C/YLR359W/YNL169C/YML081C-A/YDR434W/YMR096W/YOL032W/YDR123C/YJR105W/YGL126W/YGR209C/YGR204W/YOR374W/YKR070W/YOR393W/YLR088W/YLR377C/YFR053C/YDR173C/YMR165C/YOR020W-A/YOR283W/YOR209C/YLR153C/YPR021C/YPL175W/YMR271C/YKL181W/YLR014C/YLR043C/YDR452W/YKL152C/YOL136C/YML022W/YDR372C/YHL020C/YMR208W/YNL216W/YPR074C/YOL077W-A/YLR133W/YGR061C/YPL256C/YOR143C/YOL061W/Q0085/YBL011W/YMR013C/YJL164C/YPL271W/YDL004W/YPR073C/YKR089C/YNR034W/YJR133W/YGL059W/YEL029C/YBR028C/YPL110C/YAL009W/YNL158W/YKR080W/YML051W/YCR068W/YOR111W/YLR193C/YJL012C/YML126C/YIL039W/YMR079W/YOR142W/YOR054C/YJR156C/YGL234W/YNL199C/YML035C/YGR256W/YBR042C/YLR347C/YJL167W/YDR096W/YJL145W/YCR073W-A/YCR044C/YLR174W/YGR233C/YGL142C/YPR106W/YCR026C/YIL042C/YPL150W/YLR345W/YBR111C/YML072C/YOR128C/YNL249C/YMR083W/YDR284C/YLR028C/YDL125C/YJR049C/YNR012W/YML075C/YKL216W/YPL134C/YHR163W/YKL035W/YHL032C/YBL039C/YFL025C/YOL056W/YNL220W/YLR420W/YMR008C/YOL059W/YDR103W/YDR408C/YNL141W/YBL068W/YLR446W/YDR315C/YDR196C/YJR076C/YOR095C/YPL103C/YGR010W/YBR086C/YDL045C/YCL052C/YDL073W/YJL062W/YLR168C/YDL103C/YOR336W/YJL198W/YDL166C/YDR531W/YIL083C/YNL012W/YBR127C/YKR072C/YJR057W/YGR194C/YHR216W/YGR123C/YLR354C/YNL032W/YNL038W/YGL067W/YOR163W/YDR441C/YJL116C/YJL134W/YIL124W/YOR344C/Q0130/YKR043C/YER170W/YGR149W/YKL127W/YFL045C/YPL189W/YCR017C/YJL153C/YHR202W/YHL011C/YDR520C/YDR018C/YGR046W/YBL098W/YFR007W/YDR503C/YDR226W/YOL055C/YOR222W/YBR145W/YOR086C/YBR242W/YBR109C/YDR148C/YER072W/YBL060W/YOL065C/YMR145C/YPL075W/YOR270C/YFL059W/YLR450W/YLL031C/YDL055C/YHR074W/YBR125C/YJR019C/YGL224C/YDR208W/YJL130C/YJR025C/YOR149C/YJL005W/YDR109C/YNL010W/YMR323W/YOR311C/YBL056W/YDR428C/YGR052W/YGR108W/YOR090C/YPL120W/YPR140W/YDR009W/YER003C/YKL126W/YNR001C/YMR028W/YEL041W",267
"GO:0019752","carboxylic acid metabolic process","198/2722","358/6447",0.553072625698324,1.30994093235749,5.15790731612749,2.02240694675063e-07,3.81560777286952e-05,3.25004344425189e-05,"YEL071W/YMR009W/YMR169C/YGL055W/YCR012W/YJL052W/YMR250W/YPR002W/YKR069W/YAL038W/YHR174W/YPL280W/YMR280C/YMR246W/YPL273W/YKL001C/YIR031C/YGL253W/YCR005C/YKL182W/YKL085W/YPR167C/YEL066W/YIL009W/YDR253C/YDL110C/YER043C/YOR317W/YHR183W/YJL088W/YBR112C/YNL103W/YER073W/YPR118W/YBR218C/YIR017C/YHR112C/YJL071W/YKL106W/YJR010W/YNL256W/YKR009C/YPR069C/YBR221C/YPL231W/YNL277W/YML042W/YBR159W/YNR016C/YGR254W/YDL015C/YKL060C/YJL196C/YNL239W/YCL064C/YOR375C/YGR019W/YOL126C/YBR177C/YDL174C/YPR060C/YBR084W/YIL051C/YJR024C/YGR204W/YOR374W/YOR393W/YDR380W/YFR055W/YFR053C/YDR173C/YMR165C/YLR351C/YLR153C/YHR018C/YKL152C/YOL136C/YLR134W/YOL002C/YIR033W/YHR033W/YPR035W/YLR372W/YNL216W/YLR438W/YDR511W/YER081W/YPR001W/YDR272W/YMR189W/YLR142W/YBR176W/YGL059W/YIR023W/YBL015W/YPR145W/YDR035W/YMR110C/YPR067W/YHR037W/YCL018W/YBR026C/YNL199C/YPR128C/YGR256W/YBR263W/YPL148C/YJR109C/YHR063C/YBR041W/YLR174W/YOR196C/YCL026C-A/YEL046C/YIL042C/YLR345W/YMR210W/YGR208W/YIL020C/YDL080C/YDR421W/YOR184W/YGL184C/YDR539W/YBR166C/YIL160C/YBR034C/YOL052C/YOR126C/YOL056W/YHR067W/YLR303W/YLR446W/YLL027W/YER065C/YIL094C/YKL055C/YGL196W/YKL184W/YER090W/YMR289W/YML076C/YLR146C/YDR234W/YGR037C/YDR354W/YOR130C/YDR216W/YDR019C/YCL009C/YKL029C/YLR355C/YAL044C/YDL192W/YPL111W/YDR321W/YOR344C/YEL038W/YER086W/YGR286C/YGL125W/YOL058W/YGR155W/YCR034W/YPL017C/YDL219W/YMR020W/YLL062C/YBL098W/YJL200C/YMR170C/YML096W/YFL018C/YJR137C/YDR148C/YDR300C/YOR108W/YKL015W/YML004C/YPL075W/YDL171C/YDL131W/YBR248C/YHR137W/YJR019C/YPL262W/YJL130C/YJR025C/YNL010W/YMR323W/YOR202W/YDR428C/YBR222C/YNR001C/YDR538W/YMR108W/YMR043W/YBR006W",198
"GO:0043603","amide metabolic process","72/2722","109/6447",0.660550458715596,1.56449992922096,5.08074145983242,3.61505720610648e-07,6.1383671359688e-05,5.22851431704243e-05,"YMR169C/YLL060C/YGR244C/YMR246W/YIR031C/YNR043W/YDR135C/YIL009W/YOR317W/YDL124W/YHL003C/YJL101C/YMR296C/YNL256W/YPR069C/YBR221C/YBR183W/YNR016C/YBR281C/YBR084W/YGL126W/YGR209C/YLR351C/YLR153C/YPL087W/YBR208C/YMR208W/YIR032C/YLR299W/YBR176W/YGL059W/YIR023W/YPR145W/YOL049W/YPR067W/YML126C/YOR142W/YOR054C/YHR063C/YNL191W/YIL042C/YMR298W/YML075C/YDR062W/YBR034C/YOL052C/YDR196C/YLL027W/YPL103C/YKL184W/YMR289W/YGR154C/YLR146C/YDR531W/YIL083C/YKR072C/YIR027C/YPL111W/YBR139W/YGR286C/YOL058W/YMR020W/YMR170C/YDR148C/YML004C/YLR450W/YKR076W/YJR019C/YOR311C/YNR001C/YKL008C/YJL126W",72
